name,group,physicians_number,s_sus_01,s_sus_02,s_sus_03,s_sus_04,s_sus_05,s_sus_06,s_sus_07,s_sus_08,s_sus_09,s_sus_10,m_sus_01,m_sus_02,m_sus_03,m_sus_04,m_sus_05,m_sus_06,m_sus_07,m_sus_08,m_sus_09,m_sus_10
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
